20, 25, 31.5, 40, 50, 63, 80, 100, 125, 160, 200, 250, 315, 400, 500, 630, 800, 1000, 1250, 1600, 2000, 2500, 3150, 4000, 5000, 6300, 8000, 10000, 12500, 16000, 20000
0.016, 0.016, 0.016, 0.016, 0.016, 0.016, 0.013, 0.010, 0.010, 0.014, 0.089, 0.171, 0.271, 0.343, 0.527, 0.672, 0.663, 0.762, 0.851, 0.896, 0.934, 0.960, 0.939, 0.904, 0.917, 0.903, 0.882, 0.803, 0.730, 0.544, 0.440
0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.054, 0.060, 0.067, 0.076, 0.085, 0.095, 0.107, 0.121, 0.135, 0.152, 0.171, 0.191, 0.213, 0.241, 0.270
